Employee number,Password,Role
10001,Garcia01,Admin
10002,Lim02,Admin
10003,Aquino03,Admin
10004,Reyes04,Admin
10005,Hernandez05,Admin
10006,Villanueva06,Admin
10007,San Jose07,Admin
10008,Romualdez08,Employee
10009,Atienza09,Employee
10010,Alvaro10,Admin
10011,Salcedo11,Admin
10012,Lopez12,Admin
10013,Farala13,Admin
10014,Martinez14,Admin
10015,Romualdez15,Employee
10016,Mata16,Employee
10017,De Leon17,Employee
10018,San Jose18,Employee
10019,Rosario19,Employee
10020,Bautista20,Employee
10021,Lazaro21,Employee
10022,Delos Santos22,Employee
10023,Santos23,Employee
10024,Del Rosario24,Employee
10025,Tolentino25,Employee
10026,Gutierrez26,Employee
10027,Manalaysay27,Employee
10028,Villegas28,Employee
10029,Ramos29,Employee
10030,Maceda30,Employee
10031,Aguilar31,Employee
10032,Castro32,Employee
10033,Martinez33,Employee
10034,Santos34,Employee
